Uniprot ID,Gene Name,Log2 Ratio L/H AgProp.Total1,Log2 Ratio L/H AgProp.Insoluble1,Log2 Ratio L/H AgProp.Soluble1,Log2 Ratio L/H AgProp.Total2,Log2 Ratio L/H AgProp.Insoluble2,Log2 Ratio L/H AgProp.Soluble2,Log2 Ratio L/H AgProp.Total3,Log2 Ratio L/H AgProp.Insoluble3,Log2 Ratio L/H AgProp.Soluble3,log abs.LFQ AgProp.Total1,log abs.LFQ AgProp.Insoluble1,log abs.LFQ AgProp.Soluble1,log abs.LFQ AgProp.Total2,log abs.LFQ AgProp.Insoluble2,log abs.LFQ AgProp.Soluble2,log abs.LFQ AgProp.Total3,log abs.LFQ AgProp.Insoluble3,log abs.LFQ AgProp.Soluble3,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgProp.Total1 Corrected,log abs.LFQ AgProp.Insoluble1 Corrected,log abs.LFQ AgProp.Soluble1 Corrected,log abs.LFQ AgProp.Total2 Corrected,log abs.LFQ AgProp.Insoluble2 Corrected,log abs.LFQ AgProp.Soluble2 Corrected,log abs.LFQ AgProp.Total3 Corrected,log abs.LFQ AgProp.Insoluble3 Corrected,log abs.LFQ AgProp.Soluble3 Corrected,log2 Aggregation Propensity 1,log2 Aggregation Propensity 2,log2 Aggregation Propensity 3,log2 Median Aggregation Propensity,Median Aggregation Propensity Percentage
G5EE96,,0.528677253,NA,0.609882646,NA,NA,1.170458897,0.769698596,NA,1.117599539,6.689193387,4.453643368,6.937843741,NA,4.584221246,6.49045012,6.775056761,4.544618803,6.794174237,7.24E-111,44.5,290,6.649528635,4.769069969,6.815377491,NA,4.816208547,6.599809296,6.802378186,4.853996055,6.714625446,NA,NA,NA,NA,NA
G5EE97;Q8I4F3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.384858941,5.186560829,NA,NA,NA,NA,NA,NA,4.85E-41,15.5,705,NA,4.700285542,5.064094579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EE98,skr-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44E-14,23.7,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEA2,lpr-3,NA,NA,-0.631895859,NA,NA,NA,NA,NA,NA,6.295413146,4.814774096,6.421702619,NA,NA,NA,NA,NA,NA,1.58E-188,19.5,569,6.255748393,5.130200697,6.299236369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEA8,nex-1,0.574175502,-6.184954664,0.476678931,0.38947001,-5.354840006,0.464623833,0.650385613,-7.383704292,0.697195501,8.421636827,6.059330216,8.585855363,8.386819886,5.928293192,8.512831093,8.547897718,6.11342143,8.614696888,0,91.3,322,8.381972075,6.374756817,8.463389113,8.608582335,6.160280494,8.622190268,8.575219142,6.422798682,8.535148097,-6.759130166,-5.744310016,-8.034089905,-6.759130166,0.923206971
G5EEB6,dpy-14,-0.369941022,NA,NA,NA,NA,NA,NA,NA,NA,7.264652571,5.504211736,5.553628198,NA,NA,NA,5.629715333,5.517296902,5.427778137,8.26E-18,3.7,322,7.224987819,5.819638337,5.431161948,NA,NA,NA,5.657036757,5.826674154,5.348229345,NA,NA,NA,NA,NA
G5EEB8,lpr-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52E-06,2.7,1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EED5,scm-1,0.110853583,NA,0.361509058,0.53587546,NA,0.609090235,0.650544132,NA,0.817434818,6.993828462,NA,7.05196245,6.81563087,5.023193337,6.959818609,7.124112792,5.010379835,7.155761013,5.06E-07,3.3,335,6.954163709,NA,6.9294962,7.037393319,5.255180639,7.069177784,7.151434217,5.319757087,7.076212221,NA,NA,NA,NA,NA
G5EED8;Q2V4U7,tph-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22E-10,5.1,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEE1,fut-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.87E-42,21.7,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEE5,elo-1,1.196839106,NA,0.902497072,NA,NA,NA,NA,NA,0.991771296,6.302287627,NA,6.973635773,5.55216916,5.55904767,6.525472409,6.244475045,NA,6.415724362,6.86E-25,19.8,288,6.262622875,NA,6.851169523,5.773931609,5.791034971,6.634831585,6.271796469,NA,6.33617557,NA,NA,NA,NA,NA
G5EEF0;G5EBW6,lea-1,0.537424112,-4.778839355,0.53380621,0.405776332,-4.723285505,0.523151748,0.692827977,-5.398076692,0.711015471,8.02905895,5.997031018,8.065355601,7.83192094,6.256015021,7.797800558,7.966540631,6.305616306,8.095866453,0,72.3,1309,7.989394198,6.312457619,7.942889351,8.053683389,6.488002323,7.907159733,7.993862055,6.614993558,8.016317662,-5.316263467,-5.129061837,-6.090904669,-5.316263467,2.509835349
G5EEF7,mom-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37E-13,10,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8MNV0-2;Q8MNV0;G5EEF8;Q8MNV0-3,spas-1,0.327764767,NA,0.769280513,NA,NA,NA,NA,NA,0.863861124,6.110353983,4.527986583,6.349180359,NA,4.437852874,NA,5.28123796,4.419951452,6.093036253,9.95E-89,33,451,6.070689231,4.843413184,6.226714109,NA,4.669840176,NA,5.308559385,4.729328704,6.013487461,NA,NA,NA,NA,NA
G5EEG4,mce-1,1.298601763,-4.093391153,1.058472964,1.180299121,-5.576673293,1.077528104,1.148608741,-4.704263337,1.075185597,7.882370829,6.274111137,7.967894151,7.173215415,6.448394303,7.516363473,7.884772714,6.200544093,8.099058789,1.79E-152,64.8,162,7.842706077,6.589537738,7.8454279,7.394977864,6.680381605,7.625722649,7.912094139,6.509921345,8.019509997,-5.391992916,-6.756972414,-5.852872079,-5.852872079,1.730254325
G5EEG6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.61E-13,14.6,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEG7,smu-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16E-118,24.3,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEG8;G5EEP9;G5EBP4,frm-1,0.524935875,-4.251719093,0.422849163,0.192249422,-4.31556623,-0.034919984,0.654626335,-2.716968952,0.602919936,6.461258353,4.977459809,6.615265999,5.923026299,5.076902361,6.048130927,6.471409072,5.356764281,6.477988976,0,34.1,4648,6.421593601,5.29288641,6.492799749,6.144788748,5.308889663,6.157490103,6.498730497,5.666141532,6.398440184,-4.776654968,-4.507815652,-3.371595288,-4.507815652,4.395540378
G5EEG9,hlh-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81E-11,4,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEH6,ivd-1,0.785029725,-3.397666077,0.449099335,0.897973501,-3.85379609,0.930600288,0.644374751,-3.186769929,0.50074853,7.339371929,6.221768766,7.702645907,7.404217745,6.003561885,7.580114905,7.62032348,5.761947133,7.610649518,4.23E-297,51.6,419,7.299707177,6.537195367,7.580179657,7.625980194,6.235549187,7.689474081,7.647644904,6.071324385,7.531100727,-4.182695802,-4.751769591,-3.83114468,-4.182695802,5.506594554
G5EEH9;D1MN48,npp-10,0.242823102,-2.443739246,0.077178007,-0.739675315,-2.741229664,-1.201759307,0.244309087,-1.988448384,-0.14912927,6.033785517,4.603993197,6.190163552,5.75354476,4.738120029,5.79277678,5.879915503,4.869753767,5.82401513,0,30,1678,5.994120765,4.919419798,6.067697301,5.975307209,4.97010733,5.902135956,5.907236928,5.179131019,5.744466338,-2.686562348,-2.001554349,-2.232757471,-2.232757471,21.27516948
G5EEI1,lgl-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66E-70,12.4,941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEI4,asp-1,-0.039419183,-0.152897287,-0.052694111,1.947472813,-3.174470338,1.899049256,0.147569618,NA,0.128329801,7.554222566,6.359095521,7.729788235,8.32170197,6.126599042,8.487138375,7.916517114,5.335209649,7.890946103,0,44.9,396,7.514557813,6.674522122,7.607321985,8.543464419,6.358586344,8.596497551,7.943838539,5.644586901,7.811397311,-0.113478104,-5.121943151,NA,-2.617710627,16.29260698
G5EEI8,chp-1,NA,-1.902652471,0.344831382,NA,NA,NA,0.741661989,NA,0.755185991,6.065280871,5.191110843,6.470072215,5.931106835,5.291631255,6.223184321,6.693630233,NA,6.613651578,3.19E-131,49.2,321,6.025616119,5.506537445,6.347605965,6.152869284,5.523618557,6.332543497,6.720951657,NA,6.534102786,NA,NA,NA,NA,NA
G5EEI9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48E-07,5,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEJ4,osr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06E-05,3,643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEJ7,msd-4,NA,NA,0.935172319,NA,NA,NA,NA,NA,NA,NA,NA,7.090645958,NA,NA,NA,NA,NA,6.503313923,1.46E-97,90.8,109,NA,NA,6.968179707,NA,NA,NA,NA,NA,6.423765131,NA,NA,NA,NA,NA
G5EEK0,aqp-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66E-05,6.6,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEK1;Q10046,vglu-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67E-07,5.2,573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEK2,,NA,NA,NA,NA,NA,NA,NA,NA,0.855770857,NA,NA,NA,4.575476509,NA,NA,4.734943771,NA,5.161457847,0,59,1133,NA,NA,NA,4.797238958,NA,NA,4.762265195,NA,5.081909055,NA,NA,NA,NA,NA
G5EEK5,vet-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74E-20,8.7,843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEK8;A8WI68,sca-1,0.560408775,-6.091043915,0.664585347,0.761751195,-5.666302128,0.858096415,0.788813323,-5.561784353,0.731206325,7.91774176,6.124476939,7.945424267,7.628991415,6.153529284,7.764818503,7.83685558,6.255647821,7.831107972,0,54.8,1059,7.878077008,6.43990354,7.822958017,7.850753864,6.385516586,7.874177678,7.864177004,6.565025073,7.75155918,-6.65145269,-6.428053323,-6.350597676,-6.428053323,1.161350032
G5EEK9,vha-5,0.942029931,-0.982728961,0.220109961,1.661455782,-0.662570116,0.429109667,0.880683668,-1.740279983,0.19741798,7.278364848,6.356773376,6.925709068,6.953440738,6.847298095,6.815345266,7.169233451,6.505046464,6.771094854,0,40.5,873,7.238700096,6.672199977,6.803242817,7.175203187,7.079285396,6.924704441,7.196554876,6.814423716,6.691546062,-1.924758893,-2.324025897,-2.62096365,-2.324025897,19.97093941
G5EEL2;G5ECP2,plrg-1,0.637513279,-3.710944155,0.352878937,-0.185739709,-3.400674542,-0.160403926,0.364440612,-2.99486932,0.076310742,6.810864004,5.641559503,6.781223846,6.273232834,5.511310466,6.14971165,6.51661469,5.25568226,6.692053365,1.21E-114,28.7,494,6.771199252,5.956986104,6.658757596,6.494995283,5.743297768,6.259070825,6.543936114,5.565059511,6.612504573,-4.348457433,-3.214934833,-3.359309932,-3.359309932,9.74421697
G5EEL9,hmg-11,-0.354564999,NA,-0.002594517,-2.198274118,NA,-2.39818617,-0.067225673,NA,-0.413160776,7.902383684,NA,7.832534459,6.814992983,NA,6.729027025,8.137449063,NA,8.33963029,8.96E-31,38.7,137,7.862718932,NA,7.710068208,7.036755432,NA,6.838386201,8.164770488,NA,8.260081498,NA,NA,NA,NA,NA
G5EEM5,zyg-9,0.421979109,-2.163273294,0.242618258,-0.047398789,-2.573616894,-0.280006078,0.171742138,-2.860486123,0.24687473,6.790545522,5.406916172,6.710996915,6.323953008,5.133086549,6.249931757,6.544526913,5.505705347,6.612550758,0,40.4,1415,6.75088077,5.722342773,6.588530665,6.545715457,5.365073851,6.359290932,6.571848338,5.815082599,6.533001966,-2.585252402,-2.526218105,-3.032228261,-2.585252402,16.66331793
G5EEM6,tap-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49E-91,32.4,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEM9;Q8WQE0;Q21478;G4SGU1,ipla-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.876084991,5.280851426,NA,5.13232374,6.92E-163,39.6,840,NA,NA,NA,NA,NA,4.985444167,5.30817285,NA,5.052774948,NA,NA,NA,NA,NA
G5EEN1;G5ECI8;B1V8K6,fars-2,0.74344822,NA,0.402588012,1.174686531,NA,NA,0.439363296,-2.679063417,1.067152668,6.553008706,4.945675419,6.492983763,6.571592383,NA,6.409814817,6.7544095,5.171829299,6.787013906,1.23E-63,28,428,6.513343954,5.26110202,6.370517513,6.793354833,NA,6.519173993,6.781730924,5.48120655,6.707465115,NA,NA,-3.118426713,-3.118426713,11.51489601
G5EEN3,ced-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68E-41,8.1,1781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEN6,rad-54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16E-11,8.8,818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEN7,,NA,NA,-0.692695,NA,NA,NA,NA,NA,NA,NA,NA,6.468805019,6.050418427,NA,NA,6.255489598,NA,6.162922686,2.31E-53,32.7,211,NA,NA,6.346338768,6.272180876,NA,NA,6.282811023,NA,6.083373894,NA,NA,NA,NA,NA
G5EEQ4;G5EFE5;E9P897;E9P898,nkcc-1,1.02288863,NA,NA,NA,NA,NA,NA,NA,NA,6.003977242,4.207730583,5.818944722,5.613884087,NA,5.471570392,NA,4.118189506,NA,4.41E-78,13.1,1210,5.96431249,4.523157184,5.696478472,5.835646536,NA,5.580929567,NA,4.427566758,NA,NA,NA,NA,NA,NA
G5EEQ6;O45818;O45818-3,dkf-2,0.561856217,NA,0.475675499,NA,NA,NA,0.531114361,NA,0.367769016,6.15932652,NA,5.711427583,NA,NA,NA,5.887920975,NA,5.660998211,5.86E-60,13.3,848,6.119661768,NA,5.588961332,NA,NA,NA,5.9152424,NA,5.58144942,NA,NA,NA,NA,NA
G5EEQ8,,0.26298824,-2.224472524,0.112942706,0.051668281,-2.437121184,-0.810484235,0.323804819,-2.297660987,-0.081475982,6.11119528,4.998133263,6.292853922,5.66622773,5.309223474,5.975886546,6.204201405,5.138532509,6.251370505,0,37.1,1322,6.071530528,5.313559864,6.170387672,5.887990179,5.541210776,6.085245721,6.23152283,5.447909761,6.171821714,-2.487460764,-2.488789466,-2.621465805,-2.488789466,17.81556984
G5EEQ9,erg-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.62E-11,13,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EER4,ger-1,NA,NA,NA,NA,NA,0.768665905,NA,NA,NA,5.879434233,4.934084678,5.913946239,6.002166062,NA,6.200193637,6.094331349,4.983667057,6.01300585,3.55E-122,41,315,5.839769481,5.24951128,5.791479989,6.223928511,NA,6.309552813,6.121652774,5.293044308,5.933457058,NA,NA,NA,NA,NA
G5EER7;G5EG67,tag-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.893922582,NA,NA,NA,NA,NA,NA,4.24E-195,38,455,NA,NA,5.771456332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EGR6;G5EES3,alg-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.469173771,5.084039781,4.692194516,5.228297676,NA,4.369173282,NA,1.92E-195,22.2,1002,NA,NA,4.346707521,5.30580223,4.924181818,5.337656852,NA,4.678550534,NA,NA,NA,NA,NA,NA
G5EFK5;G5EES6,ufd-3,0.780190252,-0.427498905,0.096005394,0.457018926,NA,-0.499169814,0.759820023,-2.627490111,0.786646496,7.196369653,5.554468072,7.003848122,6.396303984,5.429548566,6.532818054,6.861343208,5.039395639,6.978842186,8.77E-230,24.1,858,7.156704901,5.869894673,6.881381872,6.618066433,5.661535868,6.64217723,6.888664632,5.348772891,6.899293394,-1.207689157,NA,-3.387310134,-2.297499645,20.34153357
G5EES7;G5EGA8;Q9GN62,par-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.930057125,NA,NA,NA,NA,5.131041873,NA,7.40E-14,10.5,476,NA,NA,4.807590875,NA,NA,NA,NA,5.440419125,NA,NA,NA,NA,NA,NA
G5EES9,txl,0.676756767,-3.458644479,0.533931535,0.433759604,-3.832282436,0.797889501,0.44124257,-3.441085037,0.137473227,7.254693059,5.960671245,7.467963091,7.537680602,6.636817529,7.343113055,7.601462425,6.033462199,7.385749228,0,71.8,284,7.215028307,6.276097846,7.34549684,7.759443051,6.868804831,7.452472231,7.62878385,6.34283945,7.306200436,-4.135401246,-4.266042039,-3.882327606,-4.135401246,5.690103693
Q8T3D8;G5EGR9;Q21054;G5EET1,cgt-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06E-07,9.5,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EET2,dut-1,0.325503191,-1.775050541,0.154425648,-0.304043696,-2.39514508,-0.359746047,0.34005718,-2.005040617,0.307215743,7.823389449,6.540408364,7.806878355,7.633417953,5.904760594,7.491249603,7.733253455,6.12591862,7.801808314,0,52.7,491,7.783724697,6.855834965,7.684412105,7.855180402,6.136747895,7.600608779,7.760574879,6.435295872,7.722259522,-2.100553733,-2.091101384,-2.345097796,-2.100553733,23.31687363
G5EET3,cdr-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58E-115,47.3,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EET4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60E-20,13.1,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EET5,hpl-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19E-07,22.3,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EET8,pud-1.2,2.274389706,-4.256708768,2.276624927,3.318181956,-3.550161894,3.192711031,2.548522468,-3.623047448,2.490699402,8.441380885,5.876457087,8.311160273,8.207014659,6.218217076,8.24885568,8.254548077,5.813441416,8.41385276,0,92.7,151,8.401716133,6.191883688,8.188694023,8.428777108,6.450204378,8.358214856,8.281869502,6.122818668,8.334303968,-6.531098474,-6.86834385,-6.171569916,-6.531098474,1.081293158
G5EEU1,nbet-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67E-10,29,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q5CZ43;Q6A4L2;G5EEV2,trr-1,0.814336397,NA,NA,NA,NA,NA,NA,NA,NA,4.714371678,NA,3.997630988,NA,NA,NA,NA,NA,NA,1.04E-272,11.1,4053,4.674706926,NA,3.875164738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEV5,pud-3,2.810763706,NA,2.20237271,3.822043949,NA,3.961575057,2.599112369,NA,2.741010806,7.024157154,NA,7.22023888,7.047897624,NA,7.522183318,6.988951161,NA,7.247801478,0,94.8,172,6.984492402,NA,7.09777263,7.269660073,NA,7.631542493,7.016272585,NA,7.168252686,NA,NA,NA,NA,NA
G5EF88;G5EEV7,daf-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.46E-69,8.8,1776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEW1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.506614514,NA,NA,NA,NA,NA,NA,NA,8.35E-06,5.1,428,NA,4.822041115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEW4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76E-10,12,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEW5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.011189688,NA,4.719074281,NA,4.010561536,NA,NA,NA,NA,2.34E-92,18.4,1091,3.971524936,NA,4.596608031,NA,4.242548837,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEW6;Q8I4J2,sig-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.333789738,NA,NA,NA,NA,NA,NA,NA,5.871117388,2.27E-37,22.2,427,6.294124986,NA,NA,NA,NA,NA,NA,NA,5.791568596,NA,NA,NA,NA,NA
G5EEW7,asd-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.116109414,NA,NA,NA,NA,NA,NA,5.93E-08,5.7,404,NA,NA,5.993643164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9GTD4;G5EEW8,nhr-71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.46E-17,12.1,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEX7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18E-51,11,869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEY5;Q565A2,pbrm-1,0.769747791,-1.300943704,0.926920152,-0.019203734,-3.002486505,0.150737283,0.81593557,-1.554588852,1.58454418,6.371880249,4.9777429,6.131361989,4.976198615,4.514003813,5.178199699,6.092158996,5.536728007,6.001647191,0,32.1,1883,6.332215497,5.293169501,6.008895739,5.197961064,4.745991115,5.287558875,6.119480421,5.846105259,5.9220984,-2.070691495,-2.983282771,-2.370524422,-2.370524422,19.33753191
G5EEY6,zig-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49E-17,22.7,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEZ0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.563481085,4.2562329,NA,NA,5.08370957,5.501278409,5.962942018,NA,6.02881517,3.19E-59,34.8,374,5.523816333,4.571659501,NA,NA,5.315696872,5.610637585,5.990263443,NA,5.949266378,NA,NA,NA,NA,NA
G5EEZ1;Q7YTU8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72E-46,12.9,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EEZ4,3E324,0.423855213,NA,0.369482696,NA,NA,NA,1.083997325,NA,0.637468393,5.990254474,NA,6.452031904,5.52530401,NA,5.614169268,6.247138226,5.033596214,6.266560939,2.79E-72,41.8,383,5.950589722,NA,6.329565653,5.747066459,NA,5.723528444,6.274459651,5.342973465,6.187012147,NA,NA,NA,NA,NA
G5EF01,tbb-6,0.965558881,NA,0.855431482,1.517461452,NA,1.330029893,0.94300037,NA,1.007956724,6.844874631,4.581296947,7.087248868,7.028855809,NA,6.949643678,6.722913492,5.364311146,6.917190309,0,69.2,426,6.805209879,4.896723548,6.964782618,7.250618259,NA,7.059002853,6.750234916,5.673688397,6.837641517,NA,NA,NA,NA,NA
G5EF02,spn-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.880124813,NA,5.704845175,NA,NA,NA,5.708642503,NA,3.09E-32,25.4,351,NA,6.195551414,NA,5.926607625,NA,NA,NA,6.018019754,NA,NA,NA,NA,NA,NA
G5EF05,,0.906250542,-3.511594542,0.515150366,0.767584829,-4.397255346,0.629925019,0.881135319,-3.822628187,0.660246892,7.188619167,5.511342325,7.017409009,6.911700803,5.407385916,6.968688373,6.850529836,5.634419785,6.981755202,0,44.5,2175,7.148954415,5.826768926,6.894942758,7.133463252,5.639373218,7.078047548,6.877851261,5.943797037,6.90220641,-4.417845083,-5.164840175,-4.703763507,-4.703763507,3.83730299
G5EF07,btf-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.77E-68,8.9,1649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q1RPT9;G5EF08,ncx-1,0.996570465,NA,0.618495117,NA,NA,NA,NA,NA,NA,5.826476501,NA,5.670357196,NA,NA,NA,4.800978126,NA,NA,8.85E-33,14,873,5.786811749,NA,5.547890946,NA,NA,NA,4.828299551,NA,NA,NA,NA,NA,NA,NA
G5EF09,spe-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32E-17,2,854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EF11,efl-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04E-19,14.6,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EF22,flp-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00041659,25.4,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G5EF26,,0.559749393,-2.905543451,0.774132811,-0.120750053,-2.629193397,-0.253505262,0.388279925,NA,0.675304586,6.530084383,5.082188936,7.155366407,6.40935819,5.30769867,6.101609617,6.471335725,6.275034326,6.83046035,2.23E-125,58.9,316,6.490419631,5.397615537,7.032900156,6.631120639,5.539685971,6.210968793,6.49865715,6.584411578,6.750911558,-3.465292845,-2.508443344,NA,-2.986868094,12.6142987
